Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry		6,372 K	30,344 K	88		
System Idle Process	85.24	60 K	8 K	0		
System	1.20	196 K	24 K	4		
 Interrupts	4.68	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,160 K	364 K	332		
 Memory Compression		80 K	652 K	1508		
csrss.exe		1,660 K	2,284 K	424		
wininit.exe		1,340 K	980 K	500		
 services.exe	0.01	4,900 K	7,024 K	612		
  svchost.exe		948 K	1,180 K	744	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		14,880 K	22,704 K	828	Host Process for Windows Services	Microsoft Corporation
   StartMenuExperienceHost.exe		22,660 K	61,444 K	4808		
   dllhost.exe		1,884 K	5,780 K	4948	COM Surrogate	Microsoft Corporation
   RuntimeBroker.exe		5,796 K	16,220 K	5040	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		15,260 K	37,276 K	720	Runtime Broker	Microsoft Corporation
   SkypeApp.exe	Suspended	13,020 K	6,976 K	5444	SkypeApp	Microsoft Corporation
   SkypeBackgroundHost.exe	Suspended	1,972 K	1,184 K	5472	Microsoft Skype	Microsoft Corporation
   RuntimeBroker.exe		2,432 K	3,564 K	1796	Runtime Broker	Microsoft Corporation
   SearchUI.exe	Suspended	130,460 K	182,024 K	1224	Search and Cortana application	Microsoft Corporation
   ApplicationFrameHost.exe		19,916 K	31,312 K	6304	Application Frame Host	Microsoft Corporation
   WinStore.App.exe	Suspended	15,008 K	412 K	2268	Store	Microsoft Corporation
   RuntimeBroker.exe		1,484 K	3,560 K	6000	Runtime Broker	Microsoft Corporation
   MicrosoftEdge.exe	Suspended	20,096 K	768 K	6928	Microsoft Edge	Microsoft Corporation
   browser_broker.exe		1,592 K	2,164 K	5812	Browser_Broker	Microsoft Corporation
   RuntimeBroker.exe		1,500 K	2,056 K	7136	Runtime Broker	Microsoft Corporation
    MicrosoftEdgeSH.exe	Suspended	3,848 K	2,012 K	7148	Microsoft Edge Web Platform	Microsoft Corporation
   MicrosoftEdgeCP.exe	Suspended	5,752 K	4,024 K	4880	Microsoft Edge Content Process	Microsoft Corporation
   RuntimeBroker.exe		5,816 K	13,724 K	6212	Runtime Broker	Microsoft Corporation
   SecurityHealthHost.exe		2,308 K	2,972 K	1356	Windows Security Health Host	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	13,268 K	43,444 K	4108	Windows Shell Experience Host	Microsoft Corporation
   RuntimeBroker.exe		5,280 K	18,560 K	2108	Runtime Broker	Microsoft Corporation
   dllhost.exe		3,644 K	6,792 K	4732	COM Surrogate	Microsoft Corporation
   WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe	0.08	8,652 K	14,000 K	3836	WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe	Microsoft Corporation
   TiWorker.exe		25,276 K	26,496 K	7868		
   YourPhone.exe	Suspended	12,452 K	6,816 K	8424		
   RuntimeBroker.exe		3,576 K	15,188 K	7804	Runtime Broker	Microsoft Corporation
   Microsoft.Photos.exe	Suspended	122,164 K	169,912 K	5100		
